voltage,height,soil,mine_type
0.338156758249332,0,0,1
0.320241334151485,0.181818181818182,0,1
0.287008750465028,0.272727272727273,0,1
0.256283622072919,0.454545454545455,0,1
0.262839598690364,0.545454545454545,0,1
0.240966462513951,0.727272727272727,0,1
0.25441048592615,0.818181818181818,0,1
0.234924174592517,1,0,1
0.353473917837944,0,0.6,1
0.335347053984713,0.181818181818182,0.6,1
0.335347053984713,0.272727272727273,0.6,1
0.330029894425744,0.454545454545455,0.6,1
0.335347053984713,0.545454545454545,0.6,1
0.305135614288615,0.727272727272727,0.6,1
0.256283622072919,0.818181818181818,0.6,1
0.235649302954982,1,0.6,1
0.315347053984713,0,0.2,1
0.283987606504311,0.181818181818182,0.2,1
0.303262478112203,0.272727272727273,0.2,1
0.274924174592517,0.454545454545455,0.2,1
0.260029894425744,0.545454545454545,0.2,1
0.259818454729646,0.727272727272727,0.2,1
0.283987606504311,0.818181818181818,0.2,1
0.26586074265108,1,0.2,1
0.323051038416105,0,0.8,1
0.305135614288615,0.181818181818182,0.8,1
0.314199046200409,0.272727272727273,0.8,1
0.302114470327899,0.454545454545455,0.8,1
0.323262478112203,0.545454545454545,0.8,1
0.314199046200409,0.727272727272727,0.8,1
0.323262478112203,0.818181818181818,0.8,1
0.274199046200409,1,0.8,1
0.347431629886867,0,0.4,1
0.341691590906059,0.181818181818182,0.4,1
0.296072182376821,0.272727272727273,0.4,1
0.310398760650431,0.454545454545455,0.4,1
0.296072182376821,0.545454545454545,0.4,1
0.317431629886867,0.727272727272727,0.4,1
0.329304766063279,0.818181818181818,0.4,1
0.308156758249332,1,0.4,1
0.338368197975073,0,1,1
0.295014983837045,0.181818181818182,1,1
0.271993839846685,0.272727272727273,1,1
0.271903030602157,0.454545454545455,1,1
0.292205279572426,0.545454545454545,1,1
0.285347053984713,0.727272727272727,1,1
0.302114470327899,0.909090909090909,1,1
0.999998727624942,0,0,2
0.999998727624942,0.0909090909090909,0,2
0.999998727624942,0.272727272727273,0,2
0.906343264516646,0.363636363636364,0,2
0.658609458907856,0.545454545454545,0,2
0.610271155358527,0.636363636363636,0,2
0.453171668867674,0.818181818181818,0,2
0.442446540505209,0.909090909090909,0,2
0.999998727624942,0,0.6,2
0.999998727624942,0.0909090909090909,0.6,2
0.975829575850278,0.272727272727273,0.6,2
0.815708945398709,0.363636363636364,0.6,2
0.655588314917496,0.545454545454545,0.6,2
0.628398019182114,0.636363636363636,0.6,2
0.50453111637772,0.818181818181818,0.6,2
0.474319676681622,0.909090909090909,0.6,2
0.719032338329695,0,0.2,2
0.622355731260681,0.0909090909090909,0.2,2
0.531721412113101,0.272727272727273,0.2,2
0.50453111637772,0.363636363636364,0.2,2
0.438065949004804,0.545454545454545,0.2,2
0.398791077396912,0.636363636363636,0.2,2
0.362537349749738,0.818181818181818,0.2,2
0.999998727624942,0,0.8,2
0.912385552467722,0.181818181818182,0.8,2
0.957702712026691,0.272727272727273,0.8,2
0.758307209937586,0.454545454545455,0.8,2
0.734138058162922,0.545454545454545,0.8,2
0.495256244740185,0.727272727272727,0.8,2
0.468277388730545,0.818181818181818,0.8,2
0.467340820642339,1,0.8,2
0.999998727624942,0,0.4,2
0.999998727624942,0.181818181818182,0.4,2
0.999998727624942,0.272727272727273,0.4,2
0.999998727624942,0.454545454545455,0.4,2
0.999998727624942,0.545454545454545,0.4,2
0.8549838170066,0.727272727272727,0.4,2
0.628398019182114,0.818181818181818,0.4,2
0.549848275936688,1,0.4,2
0.999998727624942,0,1,2
0.891237544683418,0.181818181818182,1,2
0.999998727624942,0.272727272727273,1,2
0.809666657447632,0.454545454545455,1,2
0.716011194339335,0.545454545454545,1,2
0.507552260338436,0.727272727272727,1,2
0.549848275936688,0.818181818181818,1,2
